Player,Team,Tournament,Role,attRTG,defRTG,roleRTG
CHICHOO,EDG,Vct 2026 China Stage 1,Controller,79,80,79
lovers rock,BBL,Vct 2026 Emea Kickoff,Duelist,77,81,79
Minny,M8,Vct 2026 Emea Stage 2,Duelist,77,81,79
Ezeir,NOVA,Vct 2026 China Stage 2,Controller,80,79,79
lucas,TEC,Vct 2026 China Stage 1,Initiator,81,77,79
supamen,EG,Vct 2026 Americas Kickoff,Controller,78,80,79
CHICHOO,EDG,Vct 2026 China Kickoff,Controller,81,77,79
Zexy,VL,Vct 2026 Pacific Stage 2,Duelist,74,84,79
Caedye,DFM,Vct 2026 Pacific Stage 1,Sentinel,79,79,79
bipo,M8,Vct 2026 Emea Stage 2,Sentinel,78,80,79
bud,BLG,Vct 2026 China Kickoff,Initiator,80,78,79
happywei,XLG,Valorant Masters London 2026,Sentinel,80,78,79
Nicc,DRG,Vct 2026 China Kickoff,Initiator,79,79,79
Crws,FS,Vct 2026 Pacific Stage 1,Controller,81,78,79
ExiT,NAVI,Vct 2026 Emea Stage 2,Duelist,77,81,79
Xross,NS,Vct 2026 Pacific Kickoff,Initiator,79,79,79
xeus,FUT,Vct 2026 Emea Stage 1,Duelist,79,79,79
SpiritZ1,DRG,Vct 2026 China Stage 2,Duelist,87,71,79
Neon,LEV,Valorant Masters London 2026,Controller,79,79,79
purp0,TL,Vct 2026 Emea Stage 2,Duelist,77,81,79
d4v41,PRX,Vct 2026 Pacific Stage 2,Controller,75,83,79
Chronicle,VIT,Vct 2026 Emea Stage 1,Sentinel,80,79,79
Rb,NS,Valorant Masters Santiago 2026,Controller,79,79,79
t3xture,GEN,Vct 2026 Pacific Kickoff,Duelist,77,81,79
keznit,ENVY,Vct 2026 Americas Kickoff,Duelist,79,79,79
purp0,TL,Vct 2026 Emea Kickoff,Initiator,82,76,79
Chronicle,VIT,Vct 2026 Emea Stage 2,Controller,78,81,79
Minny,M8,Vct 2026 Emea Kickoff,Controller,79,79,79
P0PPIN,ENVY,Vct 2026 Americas Kickoff,Initiator,77,81,79
coconut,JDG,Vct 2026 China Stage 1,Initiator,82,76,79
Monyet,RRQ,Vct 2026 Pacific Kickoff,Duelist,79,79,79
GLYPH,M8,Valorant Masters Santiago 2026,Controller,77,82,79
dos9,KC,Vct 2026 Emea Kickoff,Controller,79,79,79
Neon,LEV,Valorant Masters London 2026,Duelist,80,77,79
iZu,T1,Vct 2026 Pacific Stage 2,Initiator,80,78,79
happywei,XLG,Vct 2026 China Stage 2,Controller,77,80,79
SiuFatBB,TYL,Vct 2026 China Stage 2,Initiator,82,75,79
sword9,TYL,Vct 2026 China Kickoff,Initiator,80,78,79
SUYGETSU,KC,Vct 2026 Emea Stage 2,Controller,79,78,79
s0pp,FUT,Valorant Masters London 2026,Duelist,77,81,79
CHICHOO,EDG,Vct 2026 China Stage 1,Sentinel,79,79,79
Dambi,NS,Vct 2026 Pacific Stage 1,Duelist,76,82,79
Jinggg,PRX,Valorant Masters Santiago 2026,Controller,80,78,79
Lakia,GEN,Vct 2026 Pacific Kickoff,Initiator,77,80,79
Boo,TH,Vct 2026 Emea Stage 2,Controller,75,81,79
skuba,NRG,Vct 2026 Americas Stage 2,Controller,85,72,79
xeus,FUT,Vct 2026 Emea Stage 2,Duelist,80,77,78
Izzy,EF,Vct 2026 Emea Stage 1,Duelist,79,77,78
Scales,TYL,Vct 2026 China Kickoff,Controller,80,77,78
PatMen,GE,Vct 2026 Pacific Stage 2,Controller,78,79,78
saadhak,KRÜ,Vct 2026 Americas Stage 2,Controller,79,78,78
BerLIN,JDG,Vct 2026 China Stage 2,Initiator,83,74,78
kamo,TL,Vct 2026 Emea Stage 1,Duelist,78,79,78
Ethan,NRG,Valorant Masters Santiago 2026,Initiator,79,78,78
Neon,LEV,Vct 2026 Americas Stage 2,Sentinel,80,77,78
eeiu,FUR,Vct 2026 Americas Kickoff,Initiator,80,77,78
ZynX,GEN,Vct 2026 Pacific Kickoff,Duelist,74,83,78
ZmjjKK,EDG,Vct 2026 China Kickoff,Duelist,83,73,78
Boo,TH,Vct 2026 Emea Kickoff,Controller,81,76,78
Darker,LOUD,Vct 2026 Americas Stage 2,Controller,78,79,78
koalanoob,FUR,Vct 2026 Americas Stage 2,Duelist,73,85,78
Karon,GEN,Vct 2026 Pacific Kickoff,Sentinel,76,80,78
Zeus,TS,Vct 2026 Pacific Stage 2,Duelist,81,76,78
